Usuario,Proyecto,Fecha,Horas,Issue
62e433730b4bf7ad924bcbe5,TALLER - MAIPÚ -,2025-02-24,2.0,
5e751b85fad9000c325d9aae,AJUSTES TIMM - INTEGRACIONES,2025-02-24,2.0,
60e32d94f90dee0069359fa3,TALLER - MAIPÚ -,2025-02-24,0.2666666666666666,
6411cc617222b08f3e70f716,TECH LAB - INTERNO,2025-02-24,8.0,
5dbc42d12757660db6144b56,TECH LAB - INTERNO,2025-02-24,8.0,
5f45400afdc3f5003fee080b,TECH LAB - INTERNO,2025-02-24,8.0,
6310a8963e578bb3b5feb9f3,TECH LAB - INTERNO,2025-02-24,8.0,
712020:3268e7ac-2411-4ef8-a85a-d619f040639c,TECH LAB - INTERNO,2025-02-24,8.0,
712020:f50b1e80-f1ef-440b-b954-716fbfdbc927,REPUESTOS MAIPU,2025-02-24,7.583333333333333,
712020:ca798410-124d-40e3-9954-420f35eb4d5c,TECH LAB - INTERNO,2025-02-24,7.2,
6299079acd636500697d4701,MAIPU - MEJORA CONTINUA,2025-02-24,8.0,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-24,1.9666666666666663,
5eb2db0fa4c57d0b8b13eecb,TECH LAB - INTERNO,2025-02-24,8.0,
5c8bd7984c5068698da7b839,TALLER - MAIPÚ -,2025-02-24,0.2166666666666666,
70121:e997c5d5-1d6e-4973-80cb-28bfe7343a3f,TECH LAB - INTERNO,2025-02-24,8.0,
613fb383e057c6006a1ccade,INTEGRACIONES MAIPÚ ,2025-02-24,8.0,
70121:2c1e0513-4f21-4c96-adc1-8c318e30bc0e,REPUESTOS MAIPU,2025-02-24,4.0,
5c8bd7984c5068698da7b839,TALLER - MAIPÚ -,2025-02-24,0.2,
60e32d94f90dee0069359fa3,TALLER - MAIPÚ -,2025-02-24,0.1666666666666666,
62fbddc8bb0704a2a808bd57,AFU´S,2025-02-24,0.5,
5c8bd7984c5068698da7b839,REPUESTOS MAIPU,2025-02-24,1.7166666666666666,
60e32d94f90dee0069359fa3,REPUESTOS MAIPU,2025-02-24,0.5833333333333334,
5dea6ce9b95b180d17cfc7df,TECH LAB - INTERNO,2025-02-24,1.25,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,AJUSTES TIMM - INTEGRACIONES,2025-02-24,0.6666666666666666,
62fbddc8bb0704a2a808bd57,REPUESTOS MAIPU,2025-02-24,1.0,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-24,0.75,
637d1ac0f48fbd9b62d50fc3,TECH LAB - INTERNO,2025-02-24,8.0,
6310a898316bbc56c4249187,MAIPU - MEJORA CONTINUA,2025-02-24,0.6666666666666666,
712020:d8a16146-bc5b-4c61-9c5d-af3eaddace2b,REPUESTOS MAIPU,2025-02-24,3.0,
5c8132a6e6e3160b9b6fd44d,TECH LAB - INTERNO,2025-02-24,3.0,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,TALLER - MAIPÚ -,2025-02-24,1.0,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,AJUSTES TIMM - INTEGRACIONES,2025-02-24,0.75,
712020:d1c53603-3e65-4881-b493-a128394d565e,REPUESTOS MAIPU,2025-02-24,3.0,
712020:c48c4d5f-8f15-4256-b730-279b54e14c0b,MAIPU - MEJORA CONTINUA,2025-02-24,0.5,
712020:e09a2eee-2fe3-41a8-8a9c-29acd2258249,AJUSTES TIMM - INTEGRACIONES,2025-02-24,1.5,
712020:5912aa5b-0476-4091-834a-994381177d1a,TECH LAB - INTERNO,2025-02-24,0.75,
6310a8954fbe9c4bd0edf82a,TECH LAB - INTERNO,2025-02-24,0.5,
712020:34c5700f-f485-4468-b4d7-06a7a3e2942b,REPUESTOS MAIPU,2025-02-24,3.0,
712020:448afbe2-d875-40e8-9541-835a59cdf0a7,REPUESTOS MAIPU,2025-02-24,3.0,
712020:5e29a15d-dadb-41b1-bd51-d65cb73a9a3e,REPUESTOS MAIPU,2025-02-24,3.0,
712020:76b2ab6b-f08d-4fef-9ced-52ff15fad7a0,MAIPU - MEJORA CONTINUA,2025-02-24,0.7,
712020:11e8ce5a-06a7-43cf-9c5a-858eed6f0a07,TECH LAB - INTERNO,2025-02-24,9.0,
712020:15482282-a769-4a4d-a4c2-0424a3a2e0d8,REPUESTOS MAIPU,2025-02-24,4.75,
60e32d94f90dee0069359fa3,TALLER - MAIPÚ -,2025-02-24,2.0,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,AJUSTES TIMM - INTEGRACIONES,2025-02-24,6.666666666666667,
712020:c48c4d5f-8f15-4256-b730-279b54e14c0b,MAIPU - MEJORA CONTINUA,2025-02-24,2.0,
6310a898316bbc56c4249187,MAIPU - MEJORA CONTINUA,2025-02-24,1.8333333333333333,
712020:76b2ab6b-f08d-4fef-9ced-52ff15fad7a0,MAIPU - MEJORA CONTINUA,2025-02-24,7.316666666666666,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-24,0.5,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,AJUSTES TIMM - INTEGRACIONES,2025-02-24,1.25,
6310a8954fbe9c4bd0edf82a,TECH LAB - INTERNO,2025-02-24,2.5,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,AFU´S,2025-02-24,0.75,
62fbddc8bb0704a2a808bd57,AFU´S,2025-02-24,6.5,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-24,1.0,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-24,0.9,
5e751b85fad9000c325d9aae,TECH LAB - INTERNO,2025-02-24,8.0,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,AJUSTES TIMM - INTEGRACIONES,2025-02-24,1.0,
712020:2fd5ca9e-c92c-426e-b141-c27cdf46a539,REPUESTOS MAIPU,2025-02-24,6.0,
5c8bd7984c5068698da7b839,AJUSTES TIMM - INTEGRACIONES,2025-02-24,1.0833333333333333,
62e433730b4bf7ad924bcbe5,TALLER - MAIPÚ -,2025-02-24,0.0833333333333333,
62e433730b4bf7ad924bcbe5,TALLER - MAIPÚ -,2025-02-24,0.1666666666666666,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-24,1.75,
712020:f518f4e7-7314-45a9-a3ef-723ad3fd6d7f,REPUESTOS MAIPU,2025-02-24,1.5,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,AFU´S,2025-02-24,1.5,
712020:e09a2eee-2fe3-41a8-8a9c-29acd2258249,AJUSTES TIMM - INTEGRACIONES,2025-02-24,0.25,
712020:e09a2eee-2fe3-41a8-8a9c-29acd2258249,AJUSTES TIMM - INTEGRACIONES,2025-02-24,2.25,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-24,1.2833333333333334,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,AJUSTES TIMM - INTEGRACIONES,2025-02-24,2.0,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,TALLER - MAIPÚ -,2025-02-24,0.3333333333333333,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,REPUESTOS MAIPU,2025-02-24,0.5,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,AJUSTES TIMM - INTEGRACIONES,2025-02-24,2.0,
60e32d94f90dee0069359fa3,REPUESTOS MAIPU,2025-02-24,2.5,
62e433730b4bf7ad924bcbe5,REPUESTOS MAIPU,2025-02-24,4.916666666666667,
5c8bd7984c5068698da7b839,AJUSTES TIMM - INTEGRACIONES,2025-02-24,1.0166666666666666,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,TALLER - MAIPÚ -,2025-02-24,0.1666666666666666,
6310a898316bbc56c4249187,MAIPU - MEJORA CONTINUA,2025-02-24,1.0,
712020:c48c4d5f-8f15-4256-b730-279b54e14c0b,MAIPU - MEJORA CONTINUA,2025-02-24,1.0,
712020:5912aa5b-0476-4091-834a-994381177d1a,TECH LAB - INTERNO,2025-02-24,1.75,
712020:f518f4e7-7314-45a9-a3ef-723ad3fd6d7f,REPUESTOS MAIPU,2025-02-24,1.0,
712020:d8a16146-bc5b-4c61-9c5d-af3eaddace2b,REPUESTOS MAIPU,2025-02-24,0.8333333333333334,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,REPUESTOS MAIPU,2025-02-24,1.0,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,REPUESTOS MAIPU,2025-02-24,1.0,
712020:d1c53603-3e65-4881-b493-a128394d565e,REPUESTOS MAIPU,2025-02-24,0.5,
712020:34c5700f-f485-4468-b4d7-06a7a3e2942b,REPUESTOS MAIPU,2025-02-24,1.0,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,REPUESTOS MAIPU,2025-02-24,0.5,
712020:448afbe2-d875-40e8-9541-835a59cdf0a7,REPUESTOS MAIPU,2025-02-24,1.0,
63d916c4bf837c6893d6fbad,REPUESTOS MAIPU,2025-02-24,1.0,
712020:5e29a15d-dadb-41b1-bd51-d65cb73a9a3e,REPUESTOS MAIPU,2025-02-24,1.0,
712020:2fd5ca9e-c92c-426e-b141-c27cdf46a539,REPUESTOS MAIPU,2025-02-24,1.0,
70121:2c1e0513-4f21-4c96-adc1-8c318e30bc0e,AJUSTES TIMM - INTEGRACIONES,2025-02-24,4.0,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-24,2.4,
5c8bd7984c5068698da7b839,TECH LAB - INTERNO,2025-02-24,3.533333333333333,
6310a898316bbc56c4249187,MAIPU - MEJORA CONTINUA,2025-02-24,0.5,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,AFU´S,2025-02-24,1.0,
5dea6ce9b95b180d17cfc7df,TECH LAB - INTERNO,2025-02-24,1.5,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-24,1.0,
712020:d1c53603-3e65-4881-b493-a128394d565e,REPUESTOS MAIPU,2025-02-24,5.0,
712020:d8a16146-bc5b-4c61-9c5d-af3eaddace2b,REPUESTOS MAIPU,2025-02-24,4.5,
712020:5e29a15d-dadb-41b1-bd51-d65cb73a9a3e,REPUESTOS MAIPU,2025-02-24,4.75,
712020:15482282-a769-4a4d-a4c2-0424a3a2e0d8,AJUSTES TIMM - INTEGRACIONES,2025-02-24,3.0,
712020:f518f4e7-7314-45a9-a3ef-723ad3fd6d7f,REPUESTOS MAIPU,2025-02-24,4.25,
712020:34c5700f-f485-4468-b4d7-06a7a3e2942b,REPUESTOS MAIPU,2025-02-24,4.333333333333333,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,AFU´S,2025-02-24,3.5,
712020:e09a2eee-2fe3-41a8-8a9c-29acd2258249,AJUSTES TIMM - INTEGRACIONES,2025-02-24,1.0,
712020:448afbe2-d875-40e8-9541-835a59cdf0a7,REPUESTOS MAIPU,2025-02-24,4.0,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,AJUSTES TIMM - INTEGRACIONES,2025-02-24,0.5,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,AJUSTES TIMM - INTEGRACIONES,2025-02-24,0.5,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,AJUSTES TIMM - INTEGRACIONES,2025-02-24,0.5,
60e32d94f90dee0069359fa3,REPUESTOS MAIPU,2025-02-24,1.0,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,INTEGRACIONES MAIPÚ ,2025-02-24,0.3333333333333333,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-24,3.0,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,TECH LAB - INTERNO,2025-02-24,1.0,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,AJUSTES TIMM - INTEGRACIONES,2025-02-24,3.0,
712020:91b42101-19bb-498d-9942-8850a5540c96,TECH LAB - INTERNO,2025-02-24,2.5,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,AJUSTES TIMM - INTEGRACIONES,2025-02-24,3.0,
712020:e09a2eee-2fe3-41a8-8a9c-29acd2258249,AJUSTES TIMM - INTEGRACIONES,2025-02-24,3.0,
63d916c4bf837c6893d6fbad,REPUESTOS MAIPU,2025-02-24,8.0,
712020:f50b1e80-f1ef-440b-b954-716fbfdbc927,REPUESTOS MAIPU,2025-02-24,0.4166666666666667,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,REPUESTOS MAIPU,2025-02-24,2.0,
62e433730b4bf7ad924bcbe5,REPUESTOS MAIPU,2025-02-24,1.0,
712020:15482282-a769-4a4d-a4c2-0424a3a2e0d8,AJUSTES TIMM - INTEGRACIONES,2025-02-24,0.25,
5dea6ce9b95b180d17cfc7df,TECH LAB - INTERNO,2025-02-24,0.5,
637d1ac0f48fbd9b62d50fc3,TALLER - MAIPÚ -,2025-05-19,4.0,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,TALLER - MAIPÚ -,2025-05-06,0.5,
62e433730b4bf7ad924bcbe5,REPUESTOS MAIPU,2025-02-25,2.0,
60e32d94f90dee0069359fa3,REPUESTOS MAIPU,2025-02-25,0.6333333333333333,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,AJUSTES TIMM - INTEGRACIONES,2025-02-25,0.2166666666666666,
712020:3268e7ac-2411-4ef8-a85a-d619f040639c,TECH LAB - INTERNO,2025-02-25,8.0,
712020:f50b1e80-f1ef-440b-b954-716fbfdbc927,REPUESTOS MAIPU,2025-02-25,7.583333333333333,
712020:ca798410-124d-40e3-9954-420f35eb4d5c,TECH LAB - INTERNO,2025-02-25,7.2,
6299079acd636500697d4701,MAIPU - MEJORA CONTINUA,2025-02-25,8.0,
5e751b85fad9000c325d9aae,AJUSTES TIMM - INTEGRACIONES,2025-02-25,0.25,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-25,0.8333333333333334,
5eb2db0fa4c57d0b8b13eecb,TECH LAB - INTERNO,2025-02-25,8.0,
70121:e997c5d5-1d6e-4973-80cb-28bfe7343a3f,TECH LAB - INTERNO,2025-02-25,8.0,
613fb383e057c6006a1ccade,TECH LAB - INTERNO,2025-02-25,8.0,
70121:2c1e0513-4f21-4c96-adc1-8c318e30bc0e,REPUESTOS MAIPU,2025-02-25,4.0,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,AJUSTES TIMM - INTEGRACIONES,2025-02-25,1.0833333333333333,
5e751b85fad9000c325d9aae,AJUSTES TIMM - INTEGRACIONES,2025-02-25,1.0,
62fbddc8bb0704a2a808bd57,AFU´S,2025-02-25,0.5,
60e32d94f90dee0069359fa3,REPUESTOS MAIPU,2025-02-25,4.0,
5c8bd7984c5068698da7b839,REPUESTOS MAIPU,2025-02-25,0.9166666666666666,
62fbddc8bb0704a2a808bd57,REPUESTOS MAIPU,2025-02-25,1.0,
637d1ac0f48fbd9b62d50fc3,TECH LAB - INTERNO,2025-02-25,8.0,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,AJUSTES TIMM - INTEGRACIONES,2025-02-25,1.5,
712020:d1c53603-3e65-4881-b493-a128394d565e,REPUESTOS MAIPU,2025-02-25,3.0,
6310a898316bbc56c4249187,MAIPU - MEJORA CONTINUA,2025-02-25,0.5,
712020:c48c4d5f-8f15-4256-b730-279b54e14c0b,MAIPU - MEJORA CONTINUA,2025-02-25,0.5,
712020:d8a16146-bc5b-4c61-9c5d-af3eaddace2b,REPUESTOS MAIPU,2025-02-25,3.0,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,AJUSTES TIMM - INTEGRACIONES,2025-02-25,2.0,
6310a8954fbe9c4bd0edf82a,TECH LAB - INTERNO,2025-02-25,0.5,
712020:448afbe2-d875-40e8-9541-835a59cdf0a7,REPUESTOS MAIPU,2025-02-25,3.0,
712020:5e29a15d-dadb-41b1-bd51-d65cb73a9a3e,REPUESTOS MAIPU,2025-02-25,3.0,
712020:76b2ab6b-f08d-4fef-9ced-52ff15fad7a0,MAIPU - MEJORA CONTINUA,2025-02-25,0.5,
712020:2fd5ca9e-c92c-426e-b141-c27cdf46a539,REPUESTOS MAIPU,2025-02-25,6.0,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-25,2.9166666666666665,
712020:11e8ce5a-06a7-43cf-9c5a-858eed6f0a07,TECH LAB - INTERNO,2025-02-25,9.0,
712020:15482282-a769-4a4d-a4c2-0424a3a2e0d8,REPUESTOS MAIPU,2025-02-25,4.75,
5e751b85fad9000c325d9aae,TECH LAB - INTERNO,2025-02-25,1.5,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,AJUSTES TIMM - INTEGRACIONES,2025-02-25,6.7,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-25,0.5,
712020:c48c4d5f-8f15-4256-b730-279b54e14c0b,MAIPU - MEJORA CONTINUA,2025-02-25,1.5,
6310a898316bbc56c4249187,MAIPU - MEJORA CONTINUA,2025-02-25,4.0,
712020:34c5700f-f485-4468-b4d7-06a7a3e2942b,REPUESTOS MAIPU,2025-02-25,2.5,
712020:76b2ab6b-f08d-4fef-9ced-52ff15fad7a0,MAIPU - MEJORA CONTINUA,2025-02-25,7.516666666666667,
5c8bd7984c5068698da7b839,REPUESTOS MAIPU,2025-02-25,0.5166666666666667,
6310a8954fbe9c4bd0edf82a,TECH LAB - INTERNO,2025-02-25,2.5,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,AFU´S,2025-02-25,0.75,
62fbddc8bb0704a2a808bd57,AFU´S,2025-02-25,1.5,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-25,1.0,
6022a0ace7deee0069225fbd,TECH LAB - INTERNO,2025-02-25,1.0,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-25,2.0,
557058:c310fa79-8a55-492f-a2fe-6e69a7d7c4eb,TECH LAB - INTERNO,2025-02-25,2.0,
5c8bd7984c5068698da7b839,REPUESTOS MAIPU,2025-02-25,0.7166666666666667,
712020:5912aa5b-0476-4091-834a-994381177d1a,TECH LAB - INTERNO,2025-02-25,0.75,
5e751b85fad9000c325d9aae,AJUSTES TIMM - INTEGRACIONES,2025-02-25,0.5,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,AJUSTES TIMM - INTEGRACIONES,2025-02-25,0.5,
712020:f518f4e7-7314-45a9-a3ef-723ad3fd6d7f,REPUESTOS MAIPU,2025-02-25,1.5,
62e433730b4bf7ad924bcbe5,REPUESTOS MAIPU,2025-02-25,0.5,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,AJUSTES TIMM - INTEGRACIONES,2025-02-25,0.25,
5e751b85fad9000c325d9aae,INTEGRACIONES MAIPÚ ,2025-02-25,4.0,
5c8bd7984c5068698da7b839,REPUESTOS MAIPU,2025-02-25,0.6833333333333333,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,AJUSTES TIMM - INTEGRACIONES,2025-02-25,1.0,
712020:c48c4d5f-8f15-4256-b730-279b54e14c0b,MAIPU - MEJORA CONTINUA,2025-02-25,2.0,
712020:a3240ec7-ccb7-4e31-81ed-5338bd11acc2,TECH LAB - INTERNO,2025-02-25,1.0,
62e433730b4bf7ad924bcbe5,REPUESTOS MAIPU,2025-02-25,1.0,
62fbddc8bb0704a2a808bd57,AFU´S,2025-02-25,5.0,
712020:5912aa5b-0476-4091-834a-994381177d1a,TECH LAB - INTERNO,2025-02-25,1.25,
5c8bd7984c5068698da7b839,TECH LAB - INTERNO,2025-02-25,6.15,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-25,2.4166666666666665,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,REPUESTOS MAIPU,2025-02-25,1.0,
712020:d1c53603-3e65-4881-b493-a128394d565e,REPUESTOS MAIPU,2025-02-25,0.5,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,AJUSTES TIMM - INTEGRACIONES,2025-02-25,1.0,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,AJUSTES TIMM - INTEGRACIONES,2025-02-25,1.0,
712020:34c5700f-f485-4468-b4d7-06a7a3e2942b,REPUESTOS MAIPU,2025-02-25,1.0,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,REPUESTOS MAIPU,2025-02-25,0.5,
712020:448afbe2-d875-40e8-9541-835a59cdf0a7,REPUESTOS MAIPU,2025-02-25,1.0,
63d916c4bf837c6893d6fbad,REPUESTOS MAIPU,2025-02-25,1.0,
712020:f518f4e7-7314-45a9-a3ef-723ad3fd6d7f,REPUESTOS MAIPU,2025-02-25,1.0,
712020:5e29a15d-dadb-41b1-bd51-d65cb73a9a3e,REPUESTOS MAIPU,2025-02-25,1.0,
712020:2fd5ca9e-c92c-426e-b141-c27cdf46a539,REPUESTOS MAIPU,2025-02-25,1.0,
70121:2c1e0513-4f21-4c96-adc1-8c318e30bc0e,AJUSTES TIMM - INTEGRACIONES,2025-02-25,4.0,
62e433730b4bf7ad924bcbe5,REPUESTOS MAIPU,2025-02-25,4.5,
60e32d94f90dee0069359fa3,REPUESTOS MAIPU,2025-02-25,2.0,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-25,3.0,
712020:d1c53603-3e65-4881-b493-a128394d565e,REPUESTOS MAIPU,2025-02-25,5.0,
712020:a3240ec7-ccb7-4e31-81ed-5338bd11acc2,TECH LAB - INTERNO,2025-02-25,4.0,
712020:d8a16146-bc5b-4c61-9c5d-af3eaddace2b,REPUESTOS MAIPU,2025-02-25,5.0,
712020:34c5700f-f485-4468-b4d7-06a7a3e2942b,REPUESTOS MAIPU,2025-02-25,3.5,
712020:5e29a15d-dadb-41b1-bd51-d65cb73a9a3e,REPUESTOS MAIPU,2025-02-25,4.5,
5dea6ce9b95b180d17cfc7df,TECH LAB - INTERNO,2025-02-25,1.0,
712020:15482282-a769-4a4d-a4c2-0424a3a2e0d8,AJUSTES TIMM - INTEGRACIONES,2025-02-25,3.0,
712020:f518f4e7-7314-45a9-a3ef-723ad3fd6d7f,REPUESTOS MAIPU,2025-02-25,2.25,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,AJUSTES TIMM - INTEGRACIONES,2025-02-25,4.0,
712020:448afbe2-d875-40e8-9541-835a59cdf0a7,REPUESTOS MAIPU,2025-02-25,4.0,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,REPUESTOS MAIPU,2025-02-25,0.5,
60e32d94f90dee0069359fa3,REPUESTOS MAIPU,2025-02-25,0.7666666666666667,
5c5857d6036b380b84dc8212,TECH LAB - INTERNO,2025-02-25,1.0,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,REPUESTOS MAIPU,2025-02-25,1.0,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,AFU´S,2025-02-25,1.0,
63d916c4bf837c6893d6fbad,REPUESTOS MAIPU,2025-02-25,7.0,
712020:f50b1e80-f1ef-440b-b954-716fbfdbc927,REPUESTOS MAIPU,2025-02-25,0.4166666666666667,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,TECH LAB - INTERNO,2025-02-25,2.0,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,AFU´S,2025-02-25,1.5,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,AJUSTES TIMM - INTEGRACIONES,2025-02-25,2.0,
6022a0ace7deee0069225fbd,TECH LAB - INTERNO,2025-02-25,0.5,
712020:f518f4e7-7314-45a9-a3ef-723ad3fd6d7f,REPUESTOS MAIPU,2025-02-25,2.0,
5dea6ce9b95b180d17cfc7df,TECH LAB - INTERNO,2025-02-25,1.5,
712020:15482282-a769-4a4d-a4c2-0424a3a2e0d8,AJUSTES TIMM - INTEGRACIONES,2025-02-25,0.25,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-25,1.0,
712020:e09a2eee-2fe3-41a8-8a9c-29acd2258249,AJUSTES TIMM - INTEGRACIONES,2025-02-25,5.0,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,AJUSTES TIMM - INTEGRACIONES,2025-02-26,0.25,
712020:e09a2eee-2fe3-41a8-8a9c-29acd2258249,AJUSTES TIMM - INTEGRACIONES,2025-02-26,5.0,
712020:3268e7ac-2411-4ef8-a85a-d619f040639c,TECH LAB - INTERNO,2025-02-26,8.0,
712020:f50b1e80-f1ef-440b-b954-716fbfdbc927,REPUESTOS MAIPU,2025-02-26,7.583333333333333,
712020:ca798410-124d-40e3-9954-420f35eb4d5c,TECH LAB - INTERNO,2025-02-26,7.2,
62e433730b4bf7ad924bcbe5,REPUESTOS MAIPU,2025-02-26,0.5833333333333334,
6299079acd636500697d4701,MAIPU - MEJORA CONTINUA,2025-02-26,8.0,
5e751b85fad9000c325d9aae,AJUSTES TIMM - INTEGRACIONES,2025-02-26,1.5,
5c8bd79686c36970e812b609,TECH LAB - INTERNO,2025-02-26,1.0,
5eb2db0fa4c57d0b8b13eecb,TECH LAB - INTERNO,2025-02-26,8.0,
5c8bd7984c5068698da7b839,REPUESTOS MAIPU,2025-02-26,1.0,
70121:e997c5d5-1d6e-4973-80cb-28bfe7343a3f,TECH LAB - INTERNO,2025-02-26,8.0,
613fb383e057c6006a1ccade,TECH LAB - INTERNO,2025-02-26,8.0,
70121:2c1e0513-4f21-4c96-adc1-8c318e30bc0e,REPUESTOS MAIPU,2025-02-26,4.0,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,AJUSTES TIMM - INTEGRACIONES,2025-02-26,3.75,
62fbddc8bb0704a2a808bd57,AFU´S,2025-02-26,0.5,
5c5857d6036b380b84dc8212,TECH LAB - INTERNO,2025-02-26,0.5,
62e433730b4bf7ad924bcbe5,REPUESTOS MAIPU,2025-02-26,7.083333333333333,
62fbddc8bb0704a2a808bd57,REPUESTOS MAIPU,2025-02-26,0.5833333333333334,
637d1ac0f48fbd9b62d50fc3,TECH LAB - INTERNO,2025-02-26,8.0,
6022a0ace7deee0069225fbd,TECH LAB - INTERNO,2025-02-26,4.0,
6310a898316bbc56c4249187,MAIPU - MEJORA CONTINUA,2025-02-26,0.5,
712020:d1c53603-3e65-4881-b493-a128394d565e,REPUESTOS MAIPU,2025-02-26,3.0,
712020:c2d6f64b-7c18-4b58-9189-57c8823f4f64,AFU´S,2025-02-26,3.0,
712020:c48c4d5f-8f15-4256-b730-279b54e14c0b,MAIPU - MEJORA CONTINUA,2025-02-26,0.5,
712020:a3240ec7-ccb7-4e31-81ed-5338bd11acc2,TECH LAB - INTERNO,2025-02-26,8.0,
6310a8954fbe9c4bd0edf82a,TECH LAB - INTERNO,2025-02-26,0.5,
712020:34c5700f-f485-4468-b4d7-06a7a3e2942b,REPUESTOS MAIPU,2025-02-26,3.0,
712020:7e5d904b-b254-46ab-8639-0e34732a80de,AFU´S,2025-02-26,0.5,
712020:448afbe2-d875-40e8-9541-835a59cdf0a7,REPUESTOS MAIPU,2025-02-26,3.0,
712020:5e29a15d-dadb-41b1-bd51-d65cb73a9a3e,REPUESTOS MAIPU,2025-02-26,3.0,
712020:76b2ab6b-f08d-4fef-9ced-52ff15fad7a0,MAIPU - MEJORA CONTINUA,2025-02-26,0.55,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,AJUSTES TIMM - INTEGRACIONES,2025-02-26,2.0,
5c8bd79686c36970e812b609,REPUESTOS MAIPU,2025-02-26,0.95,
712020:11e8ce5a-06a7-43cf-9c5a-858eed6f0a07,TECH LAB - INTERNO,2025-02-26,9.0,
5c8bd7984c5068698da7b839,AJUSTES TIMM - INTEGRACIONES,2025-02-26,4.366666666666666,
